# The exercise vocabulary (DESIGN_strength_tracking.md §4): one exercise per line,
# its movement pattern, its equipment class, and the Garmin names that mean it.
# A Garmin name is CATEGORY/NAME; a bare CATEGORY is a set tagged with the category
# and no exercise. Authored from Garmin Connect's exercise catalog and the FIT SDK
# exercise names on 2026-09-14; a name Garmin adds later is added here by hand.
# The photos column is the id of the same exercise in Free Exercise DB (public domain), whose
# two photos the gym logger shows (DESIGN_gym_logger.md §2); empty when it has no exact match.
# exercise	pattern	equipment	garmin names	photos
barbell crossover lunge	single_leg	barbell	LUNGE/BARBELL_CROSSOVER_LUNGE
barbell front split squat	single_leg	barbell	LUNGE/BARBELL_FRONT_SPLIT_SQUAT
barbell lunge	single_leg	barbell	LUNGE/BARBELL_LUNGE	Barbell_Lunge
barbell reverse lunge	single_leg	barbell	LUNGE/BARBELL_REVERSE_LUNGE
barbell side lunge	single_leg	barbell	LUNGE/BARBELL_SIDE_LUNGE
barbell split squat	single_leg	barbell	LUNGE/BARBELL_SPLIT_SQUAT
core control rear lunge	single_leg	dumbbell	LUNGE/CORE_CONTROL_REAR_LUNGE	Dumbbell_Rear_Lunge
curtsy lunge	single_leg	dumbbell	LUNGE/CURTSY_LUNGE
diagonal lunge	single_leg	dumbbell	LUNGE/DIAGONAL_LUNGE
drop lunge	single_leg	dumbbell	LUNGE/DROP_LUNGE
dumbbell box lunge	single_leg	dumbbell	LUNGE/DUMBBELL_BOX_LUNGE
dumbbell bulgarian split squat	single_leg	dumbbell	LUNGE/DUMBBELL_BULGARIAN_SPLIT_SQUAT
dumbbell crossover lunge	single_leg	dumbbell	LUNGE/DUMBBELL_CROSSOVER_LUNGE
dumbbell diagonal lunge	single_leg	dumbbell	LUNGE/DUMBBELL_DIAGONAL_LUNGE
dumbbell lunge	single_leg	dumbbell	LUNGE/DUMBBELL_LUNGE	Dumbbell_Lunges
dumbbell lunge and rotation	single_leg	dumbbell	LUNGE/DUMBBELL_LUNGE_AND_ROTATION
dumbbell overhead bulgarian split squat	single_leg	dumbbell	LUNGE/DUMBBELL_OVERHEAD_BULGARIAN_SPLIT_SQUAT
dumbbell overhead walking lunge	single_leg	dumbbell	LUNGE/DUMBBELL_OVERHEAD_WALKING_LUNGE
dumbbell reverse lunge	single_leg	dumbbell	LUNGE/DUMBBELL_REVERSE_LUNGE	Dumbbell_Rear_Lunge
dumbbell reverse lunge to high knee and press	single_leg	dumbbell	LUNGE/DUMBBELL_REVERSE_LUNGE_TO_HIGH_KNEE_AND_PRESS
dumbbell side lunge	single_leg	dumbbell	LUNGE/DUMBBELL_SIDE_LUNGE
elevated front foot barbell split squat	single_leg	barbell	LUNGE/ELEVATED_FRONT_FOOT_BARBELL_SPLIT_SQUAT
front foot elevated dumbbell split squat	single_leg	dumbbell	LUNGE/FRONT_FOOT_ELEVATED_DUMBBELL_SPLIT_SQUAT
gunslinger lunge	single_leg	dumbbell	LUNGE/GUNSLINGER_LUNGE
lawnmower lunge	single_leg	dumbbell	LUNGE/LAWNMOWER_LUNGE
low lunge with isometric adduction	accessory	dumbbell	LUNGE/LOW_LUNGE_WITH_ISOMETRIC_ADDUCTION
low side to side lunge	single_leg	dumbbell	LUNGE/LOW_SIDE_TO_SIDE_LUNGE
lunge	single_leg	bodyweight	LUNGE/LUNGE LUNGE/WEIGHTED_LUNGE BANDED_EXERCISES/LUNGE SANDBAG/LUNGE SUSPENSION/LUNGE LUNGE
lunge matrix	single_leg	bodyweight	LUNGE/LUNGE_MATRIX LUNGE/WEIGHTED_LUNGE_MATRIX
lunge with arm reach	single_leg	dumbbell	LUNGE/LUNGE_WITH_ARM_REACH
lunge with diagonal reach	single_leg	dumbbell	LUNGE/LUNGE_WITH_DIAGONAL_REACH
lunge with side bend	single_leg	dumbbell	LUNGE/LUNGE_WITH_SIDE_BEND
offset dumbbell lunge	single_leg	dumbbell	LUNGE/OFFSET_DUMBBELL_LUNGE
offset dumbbell reverse lunge	single_leg	dumbbell	LUNGE/OFFSET_DUMBBELL_REVERSE_LUNGE
overhead bulgarian split squat	single_leg	dumbbell	LUNGE/OVERHEAD_BULGARIAN_SPLIT_SQUAT
